County ,Farmer No.,Type ,Type  of Crop,RA Practice,Difficulty (1–5),Cost (Low/Med/High),Time to Benefit (months),Adoption WITH VBA Support (%),Adoption WITHOUT VBA (%),
Embu,46,Farmer,,Manure application,1.00,Low,3.00,50.00,40.00,
Embu,46,Farmer,,Mulching,4.00,Low,3.00,50.00,30.00,
Embu,46,Farmer,,Microdosing,1.00,Low,3.00,70.00,25.00,
Embu,46,Farmer,,Agroforestry,4.00,High,3.00,80.00,20.00,
Embu,46,Farmer,,Intercropping,2.00,Med,3.00,50.00,30.00,
Embu,46,Farmer,,Crop rotation,1.00,Low,3.00,60.00,25.00,
Embu,47,Farmer,,Ripping,3.00,High,3.00,80.00,40.00,
Embu,47,Farmer,,Planting basins,2.00,High,3.00,70.00,30.00,
Embu,47,Farmer,,Manure application,2.00,Low,3.00,40.00,60.00,
Embu,47,Farmer,,Mulching,4.00,Low,3.00,50.00,40.00,
Embu,47,Farmer,,Microdosing,4.00,High,3.00,60.00,50.00,
Embu,47,Farmer,,Agroforestry,5.00,High,3.00,70.00,40.00,
Embu,47,Farmer,,Intercropping,3.00,High,3.00,70.00,50.00,
Embu,47,Farmer,,Crop rotation,2.00,High,3.00,80.00,40.00,
Embu,48,Farmer,,Ripping,1.00,Low,3.00,60.00,40.00,
Embu,48,Farmer,,Planting basins,1.00,Low,3.00,30.00,15.00,
Embu,48,Farmer,,Manure application,1.00,Low,3.00,60.00,20.00,
Embu,48,Farmer,,Mulching,1.00,Low,3.00,50.00,20.00,
Embu,48,Farmer,,Microdosing,1.00,Low,3.00,35.00,15.00,
Embu,48,Farmer,,Agroforestry,1.00,Low,3.00,70.00,20.00,
Embu,48,Farmer,,Intercropping,1.00,Low,3.00,80.00,40.00,
Embu,48,Farmer,,Crop rotation,1.00,Low,3.00,60.00,30.00,
Embu,49,Farmer,,Ripping,4.00,Med,3.00,40.00,30.00,
Embu,49,Farmer,,Planting basins,3.00,High,3.00,30.00,50.00,
Embu,49,Farmer,,Manure application,1.00,High,3.00,30.00,60.00,
Embu,49,Farmer,,Mulching,5.00,High,3.00,40.00,30.00,
Embu,49,Farmer,,Microdosing,3.00,Low,3.00,30.00,35.00,
Embu,49,Farmer,,Agroforestry,5.00,High,3.00,25.00,30.00,
Embu,49,Farmer,,Intercropping,4.00,Med,3.00,40.00,45.00,
Embu,49,Farmer,,Crop rotation,4.00,Med,3.00,45.00,50.00,
Embu,50,VBA,,Ripping,4.00,High,3.00,50.00,10.00,
Embu,50,VBA,,Planting basins,2.00,Med,3.00,80.00,50.00,
Embu,50,VBA,,Manure application,1.00,Med,3.00,100.00,80.00,
Embu,50,VBA,,Mulching,2.00,Med,3.00,100.00,80.00,
Embu,50,VBA,,Microdosing,3.00,Med,3.00,80.00,40.00,
Embu,50,VBA,,Agroforestry,1.00,Med,3.00,80.00,60.00,
Embu,50,VBA,,Intercropping,1.00,Med,3.00,90.00,50.00,
Embu,50,VBA,,Crop rotation,2.00,Med,3.00,80.00,40.00,
Embu,51,VBA,,Ripping,4.00,High,3.00,60.00,30.00,
Embu,51,VBA,,Planting basins,4.00,High,3.00,50.00,70.00,
Embu,51,VBA,,Manure application,2.00,Med,4.00,70.00,70.00,
Embu,51,VBA,,Mulching,2.00,Med,3.00,60.00,40.00,
Embu,51,VBA,,Microdosing,2.00,High,3.00,80.00,30.00,
Embu,51,VBA,,Agroforestry,3.00,High,18.00,70.00,30.00,
Embu,51,VBA,,Intercropping,1.00,Low,3.00,50.00,80.00,
Embu,51,VBA,,Crop rotation,1.00,Low,3.00,80.00,80.00,
Embu,52,VBA,,Ripping,2.00,Med,3.00,70.00,30.00,
Embu,52,VBA,,Planting basins,3.00,High,5.00,80.00,50.00,
Embu,52,VBA,,Manure application,4.00,High,3.00,50.00,20.00,
Embu,52,VBA,,Mulching,5.00,High,5.00,70.00,20.00,
Embu,52,VBA,,Microdosing,3.00,High,3.00,30.00,30.00,
Embu,52,VBA,,Agroforestry,5.00,Low,5.00,50.00,10.00,
Embu,52,VBA,,Intercropping,5.00,Low,5.00,70.00,20.00,
Embu,52,VBA,,Crop rotation,1.00,Low,4.00,60.00,30.00,
Embu,53,Farmer,,Ripping,3.00,Med,3.00,96.00,96.00,
Embu,53,Farmer,,Planting basins,1.00,Med,3.00,60.00,40.00,
Embu,53,Farmer,,Manure application,1.00,High,3.00,70.00,80.00,
Embu,53,Farmer,,Mulching,3.00,High,3.00,90.00,50.00,
Embu,53,Farmer,,Microdosing,2.00,High,3.00,41.00,51.00,
Embu,53,Farmer,,Agroforestry,1.00,High,3.00,70.00,30.00,
Embu,53,Farmer,,Intercropping,4.00,High,3.00,60.00,50.00,
Embu,53,Farmer,,Crop rotation,3.00,Low,3.00,40.00,40.00,
Embu,54,Farmer,,Ripping,,Med,3.00,50.00,10.00,
Embu,54,Farmer,,Planting basins,,High,4.00,50.00,20.00,
Embu,54,Farmer,,Manure application,,High,3.00,50.00,20.00,
Embu,54,Farmer,,Mulching,,High,5.00,60.00,30.00,
Embu,54,Farmer,,Microdosing,,High,5.00,60.00,30.00,
Embu,54,Farmer,,Agroforestry,,High,3.00,40.00,10.00,
Embu,54,Farmer,,Intercropping,,Low,2.00,30.00,10.00,
Embu,54,Farmer,,Crop rotation,,High,5.00,70.00,40.00,
Embu,55,VBA,,Ripping,5.00,Med,3.00,80.00,40.00,
Embu,55,VBA,,Planting basins,2.00,Low,3.00,30.00,30.00,
Embu,55,VBA,,Manure application,2.00,Med,1.00,60.00,20.00,
Embu,55,VBA,,Mulching,3.00,Med,2.00,50.00,10.00,
Embu,55,VBA,,Microdosing,1.00,High,3.00,70.00,40.00,
Embu,55,VBA,,Agroforestry,1.00,Low,3.00,60.00,30.00,
Embu,55,VBA,,Intercropping,2.00,Med,1.00,40.00,20.00,
Embu,55,VBA,,Crop rotation,1.00,Low,2.00,50.00,20.00,
Embu,56,VBA,,Ripping,2.00,Low,12.00,80.00,20.00,
Embu,56,VBA,,Planting basins,4.00,High,12.00,80.00,20.00,
Embu,56,VBA,,Manure application,2.00,Low,12.00,50.00,50.00,
Embu,56,VBA,,Mulching,1.00,Low,3.00,70.00,30.00,
Embu,56,VBA,,Microdosing,2.00,High,3.00,50.00,50.00,
Embu,56,VBA,,Agroforestry,1.00,Low,3.00,70.00,30.00,
Embu,56,VBA,,Intercropping,2.00,Low,3.00,80.00,20.00,
Embu,56,VBA,,Crop rotation,1.00,Low,3.00,80.00,20.00,
Embu,57,VBA,,Ripping,1.00,Med,3.00,50.00,80.00,
Embu,57,VBA,,Planting basins,2.00,Med,3.00,60.00,90.00,
Embu,57,VBA,,Manure application,2.00,Low,3.00,70.00,80.00,
Embu,57,VBA,,Mulching,1.00,Low,3.00,60.00,70.00,
Embu,57,VBA,,Microdosing,1.00,Low,3.00,50.00,70.00,
Embu,57,VBA,,Agroforestry,2.00,Med,3.00,40.00,60.00,
Embu,57,VBA,,Intercropping,3.00,Low,3.00,70.00,80.00,
Embu,57,VBA,,Crop rotation,3.00,Low,3.00,60.00,80.00,
Embu,58,VBA,,Ripping,2.00,Med,3.00,75.00,50.00,
Embu,58,VBA,,Planting basins,4.00,High,3.00,80.00,50.00,
Embu,58,VBA,,Manure application,3.00,High,3.00,75.00,65.00,
Embu,58,VBA,,Mulching,3.00,High,3.00,90.00,65.00,
Embu,58,VBA,,Microdosing,4.00,High,3.00,90.00,65.00,
Embu,58,VBA,,Agroforestry,4.00,High,3.00,70.00,70.00,
Embu,58,VBA,,Intercropping,4.00,High,3.00,80.00,70.00,
Embu,58,VBA,,Crop rotation,5.00,High,3.00,90.00,95.00,
Embu,59,Farmer,,Ripping,3.00,High,3.00,50.00,10.00,
Embu,59,Farmer,,Planting basins,4.00,Low,3.00,60.00,30.00,
Embu,59,Farmer,,Manure application,5.00,Low,3.00,60.00,20.00,
Embu,59,Farmer,,Mulching,4.00,Low,3.00,70.00,30.00,
Embu,59,Farmer,,Microdosing,2.00,Med,3.00,70.00,40.00,
Embu,59,Farmer,,Agroforestry,5.00,High,3.00,60.00,20.00,
Embu,59,Farmer,,Intercropping,5.00,Low,3.00,80.00,20.00,
Embu,59,Farmer,,Crop rotation,5.00,Med,3.00,70.00,20.00,
Embu,60,VBA,,Ripping,2.00,Med,3.00,75.00,50.00,
Embu,60,VBA,,Planting basins,4.00,High,3.00,80.00,50.00,
Embu,60,VBA,,Manure application,3.00,Med,3.00,75.00,65.00,
Embu,60,VBA,,Mulching,3.00,High,3.00,90.00,65.00,
Embu,60,VBA,,Microdosing,4.00,High,3.00,90.00,65.00,
Embu,60,VBA,,Agroforestry,4.00,Med,3.00,90.00,90.00,
Embu,60,VBA,,Intercropping,4.00,Med,3.00,90.00,70.00,
Embu,60,VBA,,Crop rotation,5.00,Med,3.00,90.00,85.00,
Embu,61,VBA,,Ripping,5.00,Med,3.00,50.00,80.00,
Embu,61,VBA,,Planting basins,1.00,Med,3.00,60.00,90.00,
Embu,61,VBA,,Manure application,2.00,Low,3.00,70.00,80.00,
Embu,61,VBA,,Mulching,2.00,Low,3.00,60.00,70.00,
Embu,61,VBA,,Microdosing,1.00,Low,3.00,50.00,70.00,
Embu,61,VBA,,Agroforestry,1.00,Med,12.00,40.00,60.00,
Embu,61,VBA,,Intercropping,2.00,Low,3.00,70.00,80.00,
Embu,61,VBA,,Crop rotation,3.00,Low,3.00,60.00,80.00,
Embu,62,VBA,,Ripping,2.00,Low,12.00,80.00,20.00,
Embu,62,VBA,,Planting basins,4.00,High,12.00,80.00,20.00,
Embu,62,VBA,,Manure application,2.00,High,12.00,50.00,50.00,
Embu,62,VBA,,Mulching,1.00,High,3.00,70.00,30.00,
Embu,62,VBA,,Microdosing,2.00,High,3.00,50.00,50.00,
Embu,62,VBA,,Agroforestry,1.00,High,3.00,70.00,30.00,
Embu,62,VBA,,Intercropping,2.00,High,3.00,70.00,20.00,
Embu,62,VBA,,Crop rotation,1.00,High,3.00,80.00,20.00,
Embu,63,Farmer,,Ripping,5.00,Med,3.00,80.00,40.00,
Embu,63,Farmer,,Planting basins,2.00,Low,3.00,30.00,30.00,
Embu,63,Farmer,,Manure application,2.00,Med,1.00,60.00,20.00,
Embu,63,Farmer,,Mulching,3.00,Med,2.00,50.00,10.00,
Embu,63,Farmer,,Microdosing,1.00,Low,3.00,70.00,40.00,
Embu,63,Farmer,,Agroforestry,1.00,Low,3.00,60.00,30.00,
Embu,63,Farmer,,Intercropping,2.00,Med,1.00,40.00,20.00,
Embu,63,Farmer,,Crop rotation,1.00,Low,2.00,50.00,10.00,
Embu,64,Farmer,,Ripping,3.00,Med,3.00,50.00,20.00,
Embu,64,Farmer,,Planting basins,4.00,High,4.00,50.00,20.00,
Embu,64,Farmer,,Manure application,5.00,High,3.00,50.00,30.00,
Embu,64,Farmer,,Mulching,4.00,High,5.00,60.00,30.00,
Embu,64,Farmer,,Microdosing,4.00,High,5.00,60.00,10.00,
Embu,64,Farmer,,Agroforestry,3.00,Low,5.00,40.00,10.00,
Embu,64,Farmer,,Intercropping,2.00,Low,3.00,30.00,40.00,
Embu,64,Farmer,,Crop rotation,5.00,High,2.00,70.00,50.00,
Embu,65,Farmer,,Ripping,3.00,Med,3.00,96.00,96.00,
Embu,65,Farmer,,Planting basins,1.00,Med,3.00,60.00,40.00,
Embu,65,Farmer,,Manure application,1.00,High,3.00,70.00,80.00,
Embu,65,Farmer,,Mulching,3.00,High,3.00,90.00,50.00,
Embu,65,Farmer,,Microdosing,2.00,Med,3.00,40.00,30.00,
Embu,65,Farmer,,Agroforestry,1.00,High,3.00,70.00,50.00,
Embu,65,Farmer,,Intercropping,4.00,High,3.00,60.00,40.00,
Embu,65,Farmer,,Crop rotation,3.00,Low,3.00,40.00,30.00,
Embu,66,VBA,,Ripping,2.00,Med,3.00,20.00,30.00,
Embu,66,,,Planting basins,3.00,High,5.00,80.00,50.00,
Embu,66,,,Manure application,4.00,High,3.00,50.00,20.00,
Embu,66,,,Mulching,5.00,High,5.00,50.00,20.00,
Embu,66,,,Microdosing,3.00,Low,3.00,70.00,30.00,
Embu,66,,,Agroforestry,5.00,Low,5.00,30.00,10.00,
Embu,66,,,Intercropping,5.00,Low,5.00,50.00,20.00,
Embu,66,,,Crop rotation,1.00,High,4.00,70.00,30.00,
